code,country,region,subregion,zonecode,zone,zone_de
BHR,Bahrain,MENA,ME,MENA,Near East and North Africa,Naher Osten und Nordafrika
LBY,Libya,MENA,NA,MENA,Near East and North Africa,Naher Osten und Nordafrika
QAT,Qatar,MENA,ME,MENA,Near East and North Africa,Naher Osten und Nordafrika
SYR,Syrian Arab Republic,MENA,ME,MENA,Near East and North Africa,Naher Osten und Nordafrika
OMN,Oman,MENA,ME,MENA,Near East and North Africa,Naher Osten und Nordafrika
YEM,"Yemen, Rep.",MENA,ME,MENA,Near East and North Africa,Naher Osten und Nordafrika
IRQ,Iraq,MENA,ME,MENA,Near East and North Africa,Naher Osten und Nordafrika
EGY,"Egypt, Arab Rep.",MENA,NA,MENA,Near East and North Africa,Naher Osten und Nordafrika
MAR,Morocco,MENA,NA,MENA,Near East and North Africa,Naher Osten und Nordafrika
DZA,Algeria,MENA,NA,MENA,Near East and North Africa,Naher Osten und Nordafrika
IRN,"Iran, Islamic Rep.",MENA,ME,MENA,Near East and North Africa,Naher Osten und Nordafrika
LBN,Lebanon,MENA,ME,MENA,Near East and North Africa,Naher Osten und Nordafrika
JOR,Jordan,MENA,ME,MENA,Near East and North Africa,Naher Osten und Nordafrika
TUN,Tunisia,MENA,NA,MENA,Near East and North Africa,Naher Osten und Nordafrika
SAU,Saudi Arabia,MENA,ME,MENA,Near East and North Africa,Naher Osten und Nordafrika
TUR,Turkey,MENA,ME,MENA,Near East and North Africa,Naher Osten und Nordafrika
KWT,Kuwait,MENA,ME,MENA,Near East and North Africa,Naher Osten und Nordafrika
SLE,Sierra Leone,SSA,WAF,WAF,West Africa,West-Afrika
NER,Niger,SSA,WAF,WAF,West Africa,West-Afrika
NGA,Nigeria,SSA,WAF,WAF,West Africa,West-Afrika
BFA,Burkina Faso,SSA,WAF,WAF,West Africa,West-Afrika
LBR,Liberia,SSA,WAF,WAF,West Africa,West-Afrika
GNB,Guinea-Bissau,SSA,WAF,WAF,West Africa,West-Afrika
MLI,Mali,SSA,WAF,WAF,West Africa,West-Afrika
GIN,Guinea,SSA,WAF,WAF,West Africa,West-Afrika
CIV,Côte d'Ivoire,SSA,WAF,WAF,West Africa,West-Afrika
SEN,Senegal,SSA,WAF,WAF,West Africa,West-Afrika
TGO,Togo,SSA,WAF,WAF,West Africa,West-Afrika
MRT,Mauritania,SSA,WAF,WAF,West Africa,West-Afrika
BEN,Benin,SSA,WAF,WAF,West Africa,West-Afrika
GMB,"Gambia, The",SSA,WAF,WAF,West Africa,West-Afrika
GHA,Ghana,SSA,WAF,WAF,West Africa,West-Afrika
COD,"Congo, Dem. Rep.",SSA,CAF,CSAF,Central and Southern Africa,Zentral- und Südafrika
CAF,Central African Republic,SSA,CAF,CSAF,Central and Southern Africa,Zentral- und Südafrika
TCD,Chad,SSA,CAF,CSAF,Central and Southern Africa,Zentral- und Südafrika
AGO,Angola,SSA,CAF,CSAF,Central and Southern Africa,Zentral- und Südafrika
NAM,Namibia,SSA,SAF,CSAF,Central and Southern Africa,Zentral- und Südafrika
COG,"Congo, Rep.",SSA,CAF,CSAF,Central and Southern Africa,Zentral- und Südafrika
SWZ,Swaziland,SSA,SAF,CSAF,Central and Southern Africa,Zentral- und Südafrika
CMR,Cameroon,SSA,CAF,CSAF,Central and Southern Africa,Zentral- und Südafrika
LSO,Lesotho,SSA,SAF,CSAF,Central and Southern Africa,Zentral- und Südafrika
BWA,Botswana,SSA,SAF,CSAF,Central and Southern Africa,Zentral- und Südafrika
GAB,Gabon,SSA,CAF,CSAF,Central and Southern Africa,Zentral- und Südafrika
ZAF,South Africa,SSA,SAF,CSAF,Central and Southern Africa,Zentral- und Südafrika
BDI,Burundi,SSA,EAF,EAF,East Africa,Ostafrika
COM,Comoros,SSA,EAF,EAF,East Africa,Ostafrika
ERI,Eritrea,SSA,EAF,EAF,East Africa,Ostafrika
SOM,Somalia,SSA,EAF,EAF,East Africa,Ostafrika
SSD,South Sudan,SSA,EAF,EAF,East Africa,Ostafrika
SDN,Sudan,SSA,EAF,EAF,East Africa,Ostafrika
ZMB,Zambia,SSA,EAF,EAF,East Africa,Ostafrika
MDG,Madagascar,SSA,EAF,EAF,East Africa,Ostafrika
ETH,Ethiopia,SSA,EAF,EAF,East Africa,Ostafrika
DJI,Djibouti,SSA,EAF,EAF,East Africa,Ostafrika
MOZ,Mozambique,SSA,EAF,EAF,East Africa,Ostafrika
ZWE,Zimbabwe,SSA,EAF,EAF,East Africa,Ostafrika
RWA,Rwanda,SSA,EAF,EAF,East Africa,Ostafrika
TZA,Tanzania,SSA,EAF,EAF,East Africa,Ostafrika
UGA,Uganda,SSA,EAF,EAF,East Africa,Ostafrika
MWI,Malawi,SSA,EAF,EAF,East Africa,Ostafrika
KEN,Kenya,SSA,EAF,EAF,East Africa,Ostafrika
MUS,Mauritius,SSA,EAF,EAF,East Africa,Ostafrika
BOL,Bolivia,LAC,LA,SA,South America,Südamerika
GUY,Guyana,LAC,LA,SA,South America,Südamerika
ECU,Ecuador,LAC,LA,SA,South America,Südamerika
PRY,Paraguay,LAC,LA,SA,South America,Südamerika
SUR,Suriname,LAC,LA,SA,South America,Südamerika
PER,Peru,LAC,LA,SA,South America,Südamerika
COL,Colombia,LAC,LA,SA,South America,Südamerika
TTO,Trinidad & Tobago,LAC,LA,SA,South America,Südamerika
VEN,"Venezuela, RB",LAC,LA,SA,South America,Südamerika
URY,Uruguay,LAC,LA,SA,South America,Südamerika
BRA,Brazil,LAC,LA,SA,South America,Südamerika
ARG,Argentina,LAC,LA,SA,South America,Südamerika
CHL,Chile,LAC,LA,SA,South America,Südamerika
HTI,Haiti,LAC,CAR,CAR,Central America and the Caribbean,Zentralamerika und Karibik
GTM,Guatemala,LAC,CAR,CAR,Central America and the Caribbean,Zentralamerika und Karibik
NIC,Nicaragua,LAC,CAR,CAR,Central America and the Caribbean,Zentralamerika und Karibik
HND,Honduras,LAC,CAR,CAR,Central America and the Caribbean,Zentralamerika und Karibik
SLV,El Salvador,LAC,CAR,CAR,Central America and the Caribbean,Zentralamerika und Karibik
DOM,Dominican Republic,LAC,CAR,CAR,Central America and the Caribbean,Zentralamerika und Karibik
PAN,Panama,LAC,CAR,CAR,Central America and the Caribbean,Zentralamerika und Karibik
JAM,Jamaica,LAC,CAR,CAR,Central America and the Caribbean,Zentralamerika und Karibik
MEX,Mexico,LAC,CAR,CAR,Central America and the Caribbean,Zentralamerika und Karibik
CRI,Costa Rica,LAC,CAR,CAR,Central America and the Caribbean,Zentralamerika und Karibik
CUB,Cuba,LAC,CAR,CAR,Central America and the Caribbean,Zentralamerika und Karibik
BTN,Bhutan,SA,SA,SEA,"South, East, and Southeast Asia",Südostasien
PNG,Papua New Guinea,SEA,SEA,SEA,"South, East, and Southeast Asia",Südostasien
TLS,Timor-Leste,SEA,SEA,SEA,"South, East, and Southeast Asia",Südostasien
AFG,Afghanistan,SA,SA,SEA,"South, East, and Southeast Asia",Südostasien
PAK,Pakistan,SA,SA,SEA,"South, East, and Southeast Asia",Südostasien
IND,India,SA,SA,SEA,"South, East, and Southeast Asia",Südostasien
PRK,North Korea,SEA,EA,SEA,"South, East, and Southeast Asia",Südostasien
LAO,Lao PDR,SEA,SEA,SEA,"South, East, and Southeast Asia",Südostasien
BGD,Bangladesh,SA,SA,SEA,"South, East, and Southeast Asia",Südostasien
LKA,Sri Lanka,SA,SA,SEA,"South, East, and Southeast Asia",Südostasien
MMR,Myanmar,SEA,EA,SEA,"South, East, and Southeast Asia",Südostasien
KHM,Cambodia,SEA,SEA,SEA,"South, East, and Southeast Asia",Südostasien
NPL,Nepal,SA,SA,SEA,"South, East, and Southeast Asia",Südostasien
IDN,Indonesia,SEA,SEA,SEA,"South, East, and Southeast Asia",Südostasien
PHL,Philippines,SEA,SEA,SEA,"South, East, and Southeast Asia",Südostasien
MNG,Mongolia,SEA,EA,SEA,"South, East, and Southeast Asia",Südostasien
VNM,Vietnam,SEA,SEA,SEA,"South, East, and Southeast Asia",Südostasien
THA,Thailand,SEA,SEA,SEA,"South, East, and Southeast Asia",Südostasien
MYS,Malaysia,SEA,SEA,SEA,"South, East, and Southeast Asia",Südostasien
FJI,Fiji,SEA,SEA,SEA,"South, East, and Southeast Asia",Südostasien
CHN,China,SEA,EA,SEA,"South, East, and Southeast Asia",Südostasien
TJK,Tajikistan,EEFSU,FSU,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
UZB,Uzbekistan,EEFSU,FSU,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
ALB,Albania,EEFSU,EE,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
TKM,Turkmenistan,EEFSU,FSU,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
ARM,Armenia,EEFSU,FSU,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
AZE,Azerbaijan,EEFSU,FSU,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
KGZ,Kyrgyz Republic,EEFSU,FSU,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
MDA,Moldova,EEFSU,FSU,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
BGR,Bulgaria,EEFSU,EE,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
GEO,Georgia,EEFSU,FSU,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
KAZ,Kazakhstan,EEFSU,FSU,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
SRB,Serbia,EEFSU,EE,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
RUS,Russian Federation,EEFSU,FSU,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
MKD,"Macedonia, FYR",EEFSU,EE,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
ROU,Romania,EEFSU,EE,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
SVK,Slovak Republic,EEFSU,EE,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
BIH,Bosnia & Herzegovina,EEFSU,EE,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
MNE,Montenegro,EEFSU,EE,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
UKR,Ukraine,EEFSU,FSU,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
LVA,Latvia,EEFSU,FSU,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
EST,Estonia,EEFSU,FSU,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
LTU,Lithuania,EEFSU,FSU,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
BLR,Belarus,EEFSU,FSU,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
HRV,Croatia,EEFSU,EE,EEFSU,Eastern Europe and the Commonwealth of Independent States,Osteuropa und Gemeinschaft Unabhängiger Staaten
